ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,611669,93
vedomosti.ru,vedomosti.ru/,Ведомости - ежедневная деловая газета,525758,87
osnmedia.ru,www.osnmedia.ru/,Общественная Служба Новостей,512220,94
irecommend.ru,irecommend.ru/,IRecommend - отзывы о товарах и услугах,504234,75
riafan.ru,riafan.ru/,Федеральное агентство новостей,489805,84
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,489147,76
progorod,progorod43.ru,Сеть порталов PRO Город,471795,81
eg.ru,www.eg.ru/,"ЭКСПРЕСС газета - новости, аналитика, истории",471792,80
regnum.ru,regnum.ru/,ИА REGNUM,468630,93
action,www.glavbukh.ru/,"&lt;Актион-МЦФЭР&gt; — издания для директоров, руководителей, главбухов",458362,89
5-tv.ru,5-tv.ru/,Пятый канал,453833,92
topwar.ru,topwar.ru/,Военное обозрение,449446,81
1Mediainvest,1mediainvest.ru/,1MI - федеральный медиахолдинг,433229,93
Cinemaentertainment,cinemaentertainment.ru,Cinemaentertainment,423498,68
slovodel.com,slovodel.com/,Аналитический интернет-журнал &quot;Слово и дело&quot;,414052,90
russianfood.com,www.russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,407244,76
Sportbox,www.sportbox.ru,Sportbox.ru,397321,77
novostivl.ru,novostivl.ru/,Новости Восточной Ленты | Медиахолдинг Levsha Digital,395558,76
sport-express.ru,sport-express.ru/,СПОРТ-ЭКСПРЕСС,387476,72
nation-news.ru,nation-news.ru/,Народные новости России,386646,90
news.ru,news.ru/,NEWS.ru ─ Информационный портал,383386,77
rusprofile.ru,rusprofile.ru/,Rusprofile.ru - бесплатная проверка контрагента,383158,93
hsdigital/wn/starhit,starhit.ru,Starhit.ru - Новости шоу-бизнеса,371976,66
mail-my,my.mail.ru/,Мой Мир Mail.Ru,360166,73
kp/kpall/reg/kpspb,spb.kp.ru,&quot;Комсомольская правда&quot; Санкт-Петербург,343553,95
vz.ru,vz.ru/,ВЗГЛЯД.РУ,334351,83
vrubcovske.ru,vrubcovske.ru/,вРубцовске,334038,88
fontanka.ru,fontanka.ru/,Фонтанка.Ру - новости Петербурга,331421,89
smi.today/ru_smi,www.smi.today/ru_smi/,Новости России. Новостной агрегатор smi.today,327084,76
primpress.ru,primpress.ru/,PRIMPRESS.RU,303196,72
mail.ru,mail.ru/,Почта Mail.Ru,6648894,77
kp,kp.ru,Комсомольская правда-Digital,4386889,73
hsdigital,www.hsdigital.ru/,Shkulev Media Holding,2874527,79
tsargradtv,tsargrad.tv/,Телеканал &quot;Царьград&quot; - Первый Русский,2608197,90
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,2373769,85
mic_izvestia,iz.ru,Известия,2352161,87
Lenta,lenta.ru,Lenta.Ru,2341854,87
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1996203,87
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,1892568,84
hsdigital/rn/smi,mediakit.iportal.ru,Сеть городских порталов Shkulev Media Holding,1795296,90
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",1619400,85
kp/sportkpru,sportkp.ru,SPORTKP.RU - Спорт и не только,1551904,64
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,1522214,86
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1322084,88
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,1173573,81
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),1172908,87
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1146111,80
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,1055321,82
NovostnoyAgregatorSMI2,smi2.ru,Новостной агрегатор СМИ2,1030865,84
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,999976,83
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",934812,90
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Shkulev Media Holding,921834,65
teleprogramma.pro,teleprogramma.pro/,Teleprogramma.pro: телегид и шоу-бизнес,831072,58
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,824083,91
TASS_total,tass.ru,ТАСС - Новости в России и мире,809491,86
life.ru,life.ru/,LIFE.RU — последние новости России и мира,788730,82
Levsha,levsha.digital,Медиахолдинг Levsha Digital,718313,80
7days.ru,7days.ru/,"7Дней.ру - Всё о звездах! Новости, интервью, фото и видео звезд",674785,90
overclockers.ru,www.overclockers.ru/,Overclockers.ru - Профессиональные новости и статьи Hard &amp; Soft &amp; Mobile,638245,73
russian.rt.com,russian.rt.com/,RT на русском,630852,88
mail.ru,mail.ru/,Почта Mail.Ru,6648894,77
